SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes
-0.43979044766807096,-0.4974823479026957,0.12975533087322613,-0.38002799723010383,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
-0.43979044766807096,1.4981803297049399,1.2998965201250063,2.2783895868760418,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
2.2738101868796012,-0.8233048258794525,0.5198023939571529,-0.5854473671529095,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2.2738101868796012,-0.7418492063852633,0.8517573412626225,-0.4461941934219775,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-0.43979044766807096,-1.271310733097493,-1.4503502183008092,-0.9950077461127351,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
-0.43979044766807096,0.9687188029927101,0.3671031181966366,0.8740881131355229,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
-0.43979044766807096,-0.9454882551207363,-0.31340452377957584,-0.8060527827706522,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
-0.43979044766807096,-1.271310733097493,0.509843745537989,-0.9689776735935469,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
-0.43979044766807096,-0.9454882551207363,-0.6586376689772642,-0.8143180471184046,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2.2738101868796012,0.9687188029927101,1.1903513875142016,1.503063709647015,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
-0.43979044766807096,0.8465353737514263,-1.491844586713993,-0.5416304457573583,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
-0.43979044766807096,-0.6603935868910741,1.1687743159393458,-0.3277694858473815,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
-0.43979044766807096,-1.271310733097493,-0.9590568962887143,-0.9884836974542426,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
