SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.43979044766807096,1.2130856614752776,-0.33332182061790405,0.5056336488651858,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
-0.43979044766807096,0.6021685152688586,0.32062942557387114,0.543080806536736,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
-0.43979044766807096,-0.6603935868910741,0.219383166645703,-0.46999815474350437,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
-0.43979044766807096,1.4981803297049399,0.5861933834182468,1.4445456380649282,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0
-0.43979044766807096,0.5614407055217641,0.9994772928135566,0.9453897935754667,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
-0.43979044766807096,-1.271310733097493,0.5231219434302075,-0.9688013479541282,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
-0.43979044766807096,-0.3345711089143173,0.15465195192113634,-0.2928129278326208,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
-0.43979044766807096,0.2356182275450072,-0.15904547328253252,-0.037515442659245564,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0
-0.43979044766807096,-1.2305829233503986,0.48992644869966046,-0.9374153841375966,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.43979044766807096,-0.9047604453736418,0.49988509711882445,-0.6131525332465755,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
-0.43979044766807096,0.3170738470391964,1.0476107601728493,0.7216545978580419,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
-0.43979044766807096,-1.1491273038562093,-1.3125889151690393,-0.9593899669501542,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
-0.43979044766807096,1.4167247102107507,1.5355845327118898,2.2229131325739284,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
-0.43979044766807096,0.6428963250159533,0.4932459981727154,0.7017738820135816,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0
-0.43979044766807096,1.2130856614752776,1.351349536957354,1.8553402965006849,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
-0.43979044766807096,-1.0676716843620202,-0.0461807911986729,-0.850552966018951,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
-0.43979044766807096,-1.1491273038562093,-1.4802261635583014,-0.9797555783030162,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
-0.43979044766807096,-1.189855113603304,-0.6702560921329557,-0.950221033700381,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.2738101868796012,1.5389081394520345,1.4310187243106671,2.291151155028972,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
-0.43979044766807096,-0.9047604453736418,-1.483545713031356,-0.9230228038200438,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
-0.43979044766807096,0.1948904177979126,-0.0046864227854889655,0.03065645768101605,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
-0.43979044766807096,-1.1491273038562093,0.5994715813104653,-0.8634247376965174,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
-0.43979044766807096,0.4392572762804802,-1.4984836856601023,-0.6608045372994839,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
-0.43979044766807096,1.6203637589462239,1.474172867460378,2.3950069566465966,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
-0.43979044766807096,-1.189855113603304,-1.4586490919834458,-0.9775735485152094,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
-0.43979044766807096,-0.00874863093756043,0.8235411707416573,0.27484542757101227,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2.2738101868796012,-1.2305829233503986,-0.6918331637078111,-0.9667956438057403,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.43979044766807096,-1.1491273038562093,-0.4810417721688381,-0.9086081827975637,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
